"history_id","team_id","team_name_j","team_name_e","team_short_name_j","team_short_name_e","valid_from","valid_to","detected_from","created_at"
48,"53000073",B.LEAGUE U18 HELIOS,B.LEAGUE U18 HELIOS,B.LEAGUE U18 HELIOS,B.LEAGUE U18 HELIOS,2026-05-26 17:00:12.391 +0900,,teams_insert,2026-05-26 17:00:12.391 +0900
42,"706",アルバルク東京,ALVARK TOKYO,A東京,A TOKYO,2026-05-26 17:00:05.708 +0900,2026-05-26 17:00:18.686 +0900,teams_update,2026-05-26 17:00:05.708 +0900
33,"704",千葉ジェッツ,CHIBA JETS,千葉J,CHIBA J,2026-05-26 16:59:49.187 +0900,2026-05-26 17:00:20.844 +0900,teams_update,2026-05-26 16:59:49.187 +0900
50,"704",千葉ジェッツ,CHIBA JETS,千葉J,CHIBA,2026-05-26 17:00:20.844 +0900,2026-05-26 17:00:22.467 +0900,teams_update,2026-05-26 17:00:20.844 +0900
51,"704",千葉ジェッツ,CHIBA JETS,千葉J,CHIBA J,2026-05-26 17:00:22.467 +0900,,teams_update,2026-05-26 17:00:22.467 +0900
49,"706",アルバルク東京,ALVARK TOKYO,A東京,ATOKYO,2026-05-26 17:00:18.686 +0900,2026-05-26 17:00:22.467 +0900,teams_update,2026-05-26 17:00:18.686 +0900
53,"745",越谷アルファーズ,KOSHIGAYA ALPHAS,越谷,KOSHIGAYA,2026-05-26 17:00:22.467 +0900,,teams_insert,2026-05-26 17:00:22.467 +0900
54,"2486",アルティーリ千葉,ALTIRI CHIBA,A千葉,A CHIBA,2026-08-18 18:07:45.575 +0900,,teams_insert,2026-08-18 18:07:45.575 +0900
55,"63000105",KYUSHU UNITED,KYUSHU UNITED,KYUSHU UNITED,KYUSHU UNITED,2026-08-18 18:47:08.066 +0900,,teams_insert,2026-08-18 18:47:08.066 +0900
56,"63000106",B2 SELECTED,B2 SELECTED,B2 SELECTED,B2 SELECTED,2026-08-18 18:47:08.066 +0900,,teams_insert,2026-08-18 18:47:08.066 +0900
57,"63000108",RISING STARS,RISING STARS,RISING STARS,RISING STARS,2026-08-18 18:47:08.066 +0900,,teams_insert,2026-08-18 18:47:08.066 +0900
58,"63000107",ASIA ALL-STARS,ASIA ALL-STARS,ASIA ALL-STARS,ASIA ALL-STARS,2026-08-18 18:47:08.066 +0900,,teams_insert,2026-08-18 18:47:08.066 +0900
52,"706",アルバルク東京,ALVARK TOKYO,A東京,A TOKYO,2026-05-26 17:00:22.467 +0900,2026-08-24 16:12:23.925 +0900,teams_update,2026-05-26 17:00:22.467 +0900
59,"706",アルバルク東京,ALVARK TOKYO,A東京,ATOKYO,2026-08-24 16:12:23.925 +0900,,teams_update,2026-08-24 16:12:23.925 +0900
34,"694",横浜ビー・コルセアーズ,YOKOHAMA B-CORSAIRS,横浜BC,YOKOHAMA BC,2026-05-26 16:59:49.187 +0900,2026-08-24 16:12:23.925 +0900,teams_update,2026-05-26 16:59:49.187 +0900
60,"694",横浜ビー・コルセアーズ,YOKOHAMA B-CORSAIRS,横浜,YOKOHAMA,2026-08-24 16:12:23.925 +0900,,teams_update,2026-08-24 16:12:23.925 +0900
25,"703",宇都宮ブレックス,UTSUNOMIYA BREX,宇都宮,UTSUNOMIYA,2026-05-26 16:59:06.773 +0900,2026-08-24 16:12:23.925 +0900,teams_update,2026-05-26 16:59:06.773 +0900
61,"703",栃木ブレックス,TOCHIGI BREX,栃木,TOCHIGI,2026-08-24 16:12:23.925 +0900,,teams_update,2026-08-24 16:12:23.925 +0900
